Day,Document Content Loaded Time(s) (100s),Bounces (1000s),Avg Page Load Time(s),SpeedIndex,Avg Time To Interactive(s),Avg First Contentful Paint(s)
10/1/21,3.55856,4.41,48.16,10.32,11.1966667,0.85666667
10/2/21,0.63889,2.023,48.21,10.27,22.0766667,0.59333333
10/3/21,2.40629,2.864,48.23,11.2033333,2.76666667,0.79666667
10/4/21,3.58924,4.786,48.3633333,11.5,2.35666667,1.01666667
10/5/21,3.78572,5.859,47.87,10.9866667,19.99,0.48333333
10/6/21,2.77116,10.076,48.26,10.0833333,1.88666667,0.63666667
10/7/21,4.40747,24.54,48.26,40.44,33.33,4.54333333
10/8/21,1.79831,5.172,48.43,9.21,16.5966667,0.50666667
10/9/21,5.45046,3.309,48.4,11.3433333,17.92,0.50666667
10/10/21,2.39779,4.02,48.4233333,11.0633333,2.29666667,0.53666667
10/11/21,2.52471,4.851,48.57,9.42666667,2.52,0.66
10/12/21,4.62424,9.568,48.25,10.12,2.52333333,0.55666667
10/13/21,2.10841,11.537,48.5466667,11.28,5.66333333,0.59666667
10/14/21,2.68637,14.562,48.6966667,10.11,2.48,1.54333333
10/15/21,3.06977,15.383,48.9066667,9.36,18.7566667,2.63666667
10/16/21,6.89588,19.638,48.7,9.45,38.1866667,4.70666667
10/17/21,5.87241,21.82,48.83,11.3266667,21.1366667,4.58333333
10/18/21,8.17252,22.841,48.8766667,9.60666667,38.8933333,3.71
10/19/21,4.55947,22.65,48.8533333,8.27,5.72666667,3.63666667
10/20/21,5.53126,26.704,48.9833333,11.4066667,3.28666667,3.57666667
10/21/21,4.5177,29.205,49.1633333,68.6,7.61,3.78666667
10/22/21,5.02597,30.223,48.8333333,50.36,2.86,5.47
10/23/21,6.28117,28.7,48.87,31.14,27.5233333,4.53666667
10/24/21,5.02597,29.757,48.9033333,10.03,33.53,4.58
10/25/21,6.28117,30.3,49.04,10.4766667,32.0966667,4.82666667
10/26/21,4.92914,29.029,48.6266667,11.19,38.6933333,4.53333333
10/27/21,3.81412,28.914,48.9033333,10.1866667,45.9333333,4.47666667
10/28/21,6.94893,40.986,48.8033333,98.44,52.7266667,6.48333333
10/29/21,6.65714,27.27,48.8166667,69.3266667,37.6466667,4.48666667
10/30/21,3.8865,24.714,48.98,49.2833333,29.5966667,3.70333333
10/31/21,7.18736,17.581,49,10.3366667,5.80333333,0.82333333
